rental_id,fk_rental_contact_id,price,duration_type,fitting_date,pick_up_date,due_date,user_signature,user_sign_date,parent_guardian_signature,parent_guardian_sign_date,pick_up_signature,pick_up_sign_date,rental_contact_initial,ski_technician_signature,assisting_staff_fullname
136,32,219.99,Season,12/20/2022,12/20/2022,5/1/2023 12:00,Noah Anderson,12/20/2022,Noah Anderson,12/20/2022,Noah Anderson,12/20/2022,NA,Bryson Barradale,Bryson Barradale
137,27,219.99,Season,3/28/2020,3/28/2020,5/1/2020 12:00,Samantha Martin,3/28/2020,Samantha Martin,3/28/2020,Samantha Martin,3/28/2020,SM,John Florendo,John Florendo
138,62,100,Daily,12/21/2019,12/21/2019,12/23/2019 12:00,Layla Ahmed,12/21/2019,Layla Ahmed,12/21/2019,Layla Ahmed,12/21/2019,LA,Bryce Peters,Bryce Peters
139,35,185,Daily,3/20/2020,3/20/2020,3/22/2020 12:00,Niklas Berg,3/20/2020,Niklas Berg,3/20/2020,Niklas Berg,3/20/2020,NB,Bryce Peters,Bryce Peters
140,77,125,Daily,2/4/2023,2/4/2023,2/6/2023 12:00,Aisha Abdul,2/4/2023,Aisha Abdul,2/4/2023,Aisha Abdul,2/4/2023,AA,Riley Lathrop,Riley Lathrop
141,2,40,Daily,4/6/2020,4/6/2020,4/8/2020 12:00,Omar Ali,4/6/2020,Omar Ali,4/6/2020,Omar Ali,4/6/2020,OA,Jordan Weiss,Jordan Weiss
142,45,55,Daily,12/6/2020,12/6/2020,12/8/2020 12:00,Andriy Popov,12/6/2020,Andriy Popov,12/6/2020,Andriy Popov,12/6/2020,AP,Jude Willcox,Jude Willcox
143,37,119.99,Season,3/30/2021,3/30/2021,5/1/2021 12:00,Santiago Ramirez,3/30/2021,Santiago Ramirez,3/30/2021,Santiago Ramirez,3/30/2021,SR,Bryson Barradale,Bryson Barradale
144,75,55,Daily,3/1/2023,3/1/2023,3/3/2023 12:00,Hugo Silva,3/1/2023,Hugo Silva,3/1/2023,Hugo Silva,3/1/2023,HS,Jordan Weiss,Jordan Weiss
145,40,50,Daily,2/27/2022,2/27/2022,3/1/2022 12:00,Elijah Rivera,2/27/2022,Elijah Rivera,2/27/2022,Elijah Rivera,2/27/2022,ER,Jake Lathrop,Jake Lathrop
146,77,269.99,Season,3/30/2020,3/30/2020,5/1/2020 12:00,Aisha Abdul,3/30/2020,Aisha Abdul,3/30/2020,Aisha Abdul,3/30/2020,AA,Curtis Fountain,Curtis Fountain
147,8,119.99,Season,2/20/2023,2/20/2023,5/1/2023 12:00,Brandon Brown,2/20/2023,Brandon Brown,2/20/2023,Brandon Brown,2/20/2023,BB,Kevin Baron,Kevin Baron
148,63,119.99,Season,2/3/2023,2/3/2023,5/1/2023 12:00,Christopher Wright,2/3/2023,Christopher Wright,2/3/2023,Christopher Wright,2/3/2023,CW,Razi Muzaffar,Razi Muzaffar
149,12,489.98,Season,3/16/2021,3/16/2021,5/1/2021 12:00,Scarlett Mitchell,3/16/2021,Scarlett Mitchell,3/16/2021,Scarlett Mitchell,3/16/2021,SM,Carter Ash,Carter Ash
150,7,149.99,Season,12/6/2022,12/6/2022,5/1/2023 12:00,Olivia Brown,12/6/2022,Olivia Brown,12/6/2022,Olivia Brown,12/6/2022,OB,Jude Willcox,Jude Willcox
151,53,679.96,Season,1/11/2023,1/11/2023,5/1/2023 12:00,Federico Rossi,1/11/2023,Federico Rossi,1/11/2023,Federico Rossi,1/11/2023,FR,Nathan Giboney,Nathan Giboney
152,37,135,Weekly,12/8/2022,12/8/2022,12/15/2022 12:00,Santiago Ramirez,12/8/2022,Santiago Ramirez,12/8/2022,Santiago Ramirez,12/8/2022,SR,Bryson Barradale,Bryson Barradale
153,70,159.99,Season,3/7/2023,3/7/2023,5/1/2023 12:00,Matthew Lewis,3/7/2023,Matthew Lewis,3/7/2023,Matthew Lewis,3/7/2023,ML,Riley Lathrop,Riley Lathrop
154,35,539.97,Season,12/5/2020,12/5/2020,5/1/2021 12:00,Niklas Berg,12/5/2020,Niklas Berg,12/5/2020,Niklas Berg,12/5/2020,NB,Riley Lathrop,Riley Lathrop
155,32,30,Daily,2/4/2022,2/10/2022,2/12/2022 12:00,Noah Anderson,2/4/2022,Noah Anderson,2/4/2022,Noah Anderson,2/10/2022,NA,Riley Lathrop,Riley Lathrop
156,21,55,Daily,3/18/2021,3/18/2021,3/20/2021 12:00,Marwa Mahmoud,3/18/2021,Marwa Mahmoud,3/18/2021,Marwa Mahmoud,3/18/2021,MM,Jordan Weiss,Jordan Weiss
157,78,60,Daily,12/19/2021,12/19/2021,12/21/2021 12:00,Ahmed Hassan,12/19/2021,Ahmed Hassan,12/19/2021,Ahmed Hassan,12/19/2021,AH,Razi Muzaffar,Razi Muzaffar
158,21,179.99,Season,1/30/2023,1/30/2023,5/1/2023 12:00,Marwa Mahmoud,1/30/2023,Marwa Mahmoud,1/30/2023,Marwa Mahmoud,1/30/2023,MM,Riley Lathrop,Riley Lathrop
159,4,259.99,Season,2/11/2022,2/11/2022,5/1/2022 12:00,Ethan Henderson,2/11/2022,Ethan Henderson,2/11/2022,Ethan Henderson,2/11/2022,EH,Carter Ash,Carter Ash
160,27,439.98,Season,1/2/2023,1/2/2023,5/1/2023 12:00,Samantha Martin,1/2/2023,Samantha Martin,1/2/2023,Samantha Martin,1/2/2023,SM,Riley Lathrop,Riley Lathrop
161,37,99.99,Season,2/26/2022,2/26/2022,5/1/2022 12:00,Santiago Ramirez,2/26/2022,Santiago Ramirez,2/26/2022,Santiago Ramirez,2/26/2022,SR,Carter Ash,Carter Ash
162,9,80,Daily,2/23/2023,2/23/2023,2/25/2023 12:00,Giselle Diaz,2/23/2023,Giselle Diaz,2/23/2023,Giselle Diaz,2/23/2023,GD,Bryce Peters,Bryce Peters
163,35,319.98,Season,2/15/2022,2/15/2022,5/1/2022 12:00,Niklas Berg,2/15/2022,Niklas Berg,2/15/2022,Niklas Berg,2/15/2022,NB,Bryson Barradale,Bryson Barradale
164,76,30,Daily,2/18/2021,2/18/2021,2/20/2021 12:00,John Foster,2/18/2021,John Foster,2/18/2021,John Foster,2/18/2021,JF,Kevin Baron,Kevin Baron
165,60,219.98,Season,12/18/2022,12/18/2022,5/1/2023 12:00,Sofia Fernandez,12/18/2022,Sofia Fernandez,12/18/2022,Sofia Fernandez,12/18/2022,SF,Jake Lathrop,Jake Lathrop
166,78,949.95,Season,4/14/2023,4/14/2023,5/1/2023 12:00,Ahmed Hassan,4/14/2023,Ahmed Hassan,4/14/2023,Ahmed Hassan,4/14/2023,AH,Curtis Fountain,Curtis Fountain
167,34,45,Daily,4/4/2021,4/4/2021,4/6/2021 12:00,Avery Mitchell,4/4/2021,Avery Mitchell,4/4/2021,Avery Mitchell,4/4/2021,AM,Carter Ash,Carter Ash
168,25,239.99,Season,4/13/2022,4/13/2022,5/1/2022 12:00,Ruby Foster,4/13/2022,Ruby Foster,4/13/2022,Ruby Foster,4/13/2022,RF,Carter Ash,Carter Ash
169,98,95,Daily,3/31/2021,3/31/2021,4/2/2021 12:00,Yusuf Abbas,3/31/2021,Yusuf Abbas,3/31/2021,Yusuf Abbas,3/31/2021,YA,Kevin Baron,Kevin Baron
170,23,129.99,Season,12/6/2022,12/6/2022,5/1/2023 12:00,Mustafa Amin,12/6/2022,Mustafa Amin,12/6/2022,Mustafa Amin,12/6/2022,MA,John Florendo,John Florendo
171,23,759.97,Season,1/10/2022,1/10/2022,5/1/2022 12:00,Mustafa Amin,1/10/2022,Mustafa Amin,1/10/2022,Mustafa Amin,1/10/2022,MA,Jordan Weiss,Jordan Weiss
172,13,229.99,Season,12/22/2022,12/22/2022,5/1/2023 12:00,Alessia Moretti,12/22/2022,Alessia Moretti,12/22/2022,Alessia Moretti,12/22/2022,AM,Nathan Giboney,Nathan Giboney
173,76,499.97,Season,1/25/2023,1/25/2023,5/1/2023 12:00,John Foster,1/25/2023,John Foster,1/25/2023,John Foster,1/25/2023,JF,Carter Ash,Carter Ash
174,64,40,Daily,12/13/2019,12/13/2019,12/15/2019 12:00,Daniel Lee,12/13/2019,Daniel Lee,12/13/2019,Daniel Lee,12/13/2019,DL,Kevin Baron,Kevin Baron
175,44,235,Daily,12/31/2020,12/31/2020,1/2/2021 12:00,Isaac Scott,12/31/2020,Isaac Scott,12/31/2020,Isaac Scott,12/31/2020,IS,Jordan Weiss,Jordan Weiss
176,38,90,Daily,1/3/2023,1/3/2023,1/5/2023 12:00,Sebastian Müller,1/3/2023,Sebastian Müller,1/3/2023,Sebastian Müller,1/3/2023,SM,Jake Lathrop,Jake Lathrop
177,80,110,Daily,12/12/2022,12/12/2022,12/14/2022 12:00,Jakob Jensen,12/12/2022,Jakob Jensen,12/12/2022,Jakob Jensen,12/12/2022,JJ,Nathan Giboney,Nathan Giboney
178,83,289.99,Season,12/27/2019,12/27/2019,5/1/2020 12:00,Caleb King,12/27/2019,Caleb King,12/27/2019,Caleb King,12/27/2019,CK,Bryce Peters,Bryce Peters
179,66,45,Daily,1/26/2020,1/26/2020,1/28/2020 12:00,Anaya Singh,1/26/2020,Anaya Singh,1/26/2020,Anaya Singh,1/26/2020,AS,Kevin Baron,Kevin Baron
180,98,80,Daily,4/10/2021,4/10/2021,4/12/2021 12:00,Yusuf Abbas,4/10/2021,Yusuf Abbas,4/10/2021,Yusuf Abbas,4/10/2021,YA,Nathan Giboney,Nathan Giboney
181,4,25,Daily,3/12/2021,3/12/2021,3/14/2021 12:00,Ethan Henderson,3/12/2021,Ethan Henderson,3/12/2021,Ethan Henderson,3/12/2021,EH,Kevin Baron,Kevin Baron
182,39,239.98,Season,12/23/2022,12/23/2022,5/1/2023 12:00,Isabella Hernandez,12/23/2022,Isabella Hernandez,12/23/2022,Isabella Hernandez,12/23/2022,IH,John Florendo,John Florendo
183,34,45,Daily,1/21/2022,1/21/2022,1/23/2022 12:00,Avery Mitchell,1/21/2022,Avery Mitchell,1/21/2022,Avery Mitchell,1/21/2022,AM,Jordan Weiss,Jordan Weiss
184,99,210,Daily,1/17/2022,1/17/2022,1/19/2022 17:00,Julia Scott,1/17/2022,Julia Scott,1/17/2022,Julia Scott,1/17/2022,JS,Bryce Peters,Bryce Peters
185,4,489.98,Season,2/22/2022,2/22/2022,5/1/2022 12:00,Ethan Henderson,2/22/2022,Ethan Henderson,2/22/2022,Ethan Henderson,2/22/2022,EH,Carter Ash,Carter Ash
186,47,130,Daily,2/8/2020,2/8/2020,2/10/2020 12:00,Emilia Rodriguez,2/8/2020,Emilia Rodriguez,2/8/2020,Emilia Rodriguez,2/8/2020,ER,Bryson Barradale,Bryson Barradale
187,16,369.98,Season,4/12/2023,4/12/2023,5/1/2023 12:00,Sophia Edwards,4/12/2023,Sophia Edwards,4/12/2023,Sophia Edwards,4/12/2023,SE,Bryson Barradale,Bryson Barradale
188,1,65,Daily,12/23/2021,12/23/2021,12/25/2021 12:00,Emma Johansson,12/23/2021,Emma Johansson,12/23/2021,Emma Johansson,12/23/2021,EJ,Jude Willcox,Jude Willcox
189,96,209.99,Season,12/17/2022,12/22/2022,5/1/2023 12:00,Amelie Dupont,12/17/2022,Amelie Dupont,12/17/2022,Amelie Dupont,12/22/2022,AD,Bryson Barradale,Bryson Barradale
190,45,45,Daily,3/15/2021,3/15/2021,3/17/2021 12:00,Andriy Popov,3/15/2021,Andriy Popov,3/15/2021,Andriy Popov,3/15/2021,AP,Carter Ash,Carter Ash
191,94,199.99,Season,3/24/2022,3/24/2022,5/1/2022 12:00,Gabriella Hill,3/24/2022,Gabriella Hill,3/24/2022,Gabriella Hill,3/24/2022,GH,Jake Lathrop,Jake Lathrop
192,67,35,Daily,12/22/2021,12/22/2021,12/24/2021 12:00,Malika Shah,12/22/2021,Malika Shah,12/22/2021,Malika Shah,12/22/2021,MS,Nathan Giboney,Nathan Giboney
193,8,289.99,Season,3/21/2023,3/21/2023,5/1/2023 12:00,Brandon Brown,3/21/2023,Brandon Brown,3/21/2023,Brandon Brown,3/21/2023,BB,Kevin Baron,Kevin Baron
194,91,60,Daily,2/7/2020,2/13/2020,2/15/2020 12:00,Alejandra Torres,2/7/2020,Alejandra Torres,2/7/2020,Alejandra Torres,2/13/2020,AT,Carter Ash,Carter Ash
195,86,90,Daily,12/18/2021,12/18/2021,12/20/2021 12:00,Lina Ibrahim,12/18/2021,Lina Ibrahim,12/18/2021,Lina Ibrahim,12/18/2021,LI,Jude Willcox,Jude Willcox
196,67,429.98,Season,12/26/2020,12/26/2020,5/1/2021 12:00,Malika Shah,12/26/2020,Malika Shah,12/26/2020,Malika Shah,12/26/2020,MS,Jude Willcox,Jude Willcox
197,31,80,Daily,1/22/2022,1/22/2022,1/24/2022 12:00,Hailey Morris,1/22/2022,Hailey Morris,1/22/2022,Hailey Morris,1/22/2022,HM,Carter Ash,Carter Ash
198,31,79.99,Season,2/13/2023,2/13/2023,5/1/2023 12:00,Hailey Morris,2/13/2023,Hailey Morris,2/13/2023,Hailey Morris,2/13/2023,HM,Bryson Barradale,Bryson Barradale
199,69,40,Daily,4/13/2021,4/13/2021,4/15/2021 12:00,Ashley Phillips,4/13/2021,Ashley Phillips,4/13/2021,Ashley Phillips,4/13/2021,AP,Jake Lathrop,Jake Lathrop
200,31,909.95,Season,2/17/2022,2/17/2022,5/1/2022 12:00,Hailey Morris,2/17/2022,Hailey Morris,2/17/2022,Hailey Morris,2/17/2022,HM,Jake Lathrop,Jake Lathrop
201,24,35,Daily,3/25/2020,3/25/2020,3/27/2020 12:00,Miguel Rodriguez,3/25/2020,Miguel Rodriguez,3/25/2020,Miguel Rodriguez,3/25/2020,MR,Curtis Fountain,Curtis Fountain
202,85,629.96,Season,1/22/2020,1/22/2020,5/1/2020 12:00,William Rodriguez,1/22/2020,William Rodriguez,1/22/2020,William Rodriguez,1/22/2020,WR,Curtis Fountain,Curtis Fountain
203,98,90,Daily,1/26/2023,1/26/2023,1/28/2023 12:00,Yusuf Abbas,1/26/2023,Yusuf Abbas,1/26/2023,Yusuf Abbas,1/26/2023,YA,Bryson Barradale,Bryson Barradale
204,73,90,Daily,12/10/2021,12/10/2021,12/12/2021 12:00,Isabella Martinez,12/10/2021,Isabella Martinez,12/10/2021,Isabella Martinez,12/10/2021,IM,Nathan Giboney,Nathan Giboney
205,29,150,Daily,12/10/2021,12/10/2021,12/12/2021 12:00,Natalie Carter,12/10/2021,Natalie Carter,12/10/2021,Natalie Carter,12/10/2021,NC,Curtis Fountain,Curtis Fountain
206,37,110,Daily,2/4/2023,2/4/2023,2/6/2023 12:00,Santiago Ramirez,2/4/2023,Santiago Ramirez,2/4/2023,Santiago Ramirez,2/4/2023,SR,Jordan Weiss,Jordan Weiss
207,97,85,Daily,3/4/2023,3/4/2023,3/6/2023 12:00,Renata Costa,3/4/2023,Renata Costa,3/4/2023,Renata Costa,3/4/2023,RC,Razi Muzaffar,Razi Muzaffar
208,23,95,Daily,2/25/2022,2/25/2022,2/27/2022 12:00,Mustafa Amin,2/25/2022,Mustafa Amin,2/25/2022,Mustafa Amin,2/25/2022,MA,Bryson Barradale,Bryson Barradale
209,65,119.99,Season,1/22/2021,1/22/2021,5/1/2021 12:00,Ana Maria Martinez,1/22/2021,Ana Maria Martinez,1/22/2021,Ana Maria Martinez,1/22/2021,AMM,Jordan Weiss,Jordan Weiss
210,83,35,Daily,12/29/2021,12/29/2021,12/31/2021 12:00,Caleb King,12/29/2021,Caleb King,12/29/2021,Caleb King,12/29/2021,CK,Carter Ash,Carter Ash
211,23,789.96,Season,1/22/2022,1/26/2022,5/1/2022 12:00,Mustafa Amin,1/22/2022,Mustafa Amin,1/22/2022,Mustafa Amin,1/26/2022,MA,Bryce Peters,Bryce Peters
212,54,79.99,Season,1/1/2023,1/1/2023,5/1/2023 12:00,Samuel Turner,1/1/2023,Samuel Turner,1/1/2023,Samuel Turner,1/1/2023,ST,Razi Muzaffar,Razi Muzaffar
213,48,120,Daily,12/17/2022,12/24/2022,12/26/2022 12:00,Elena Ivanova,12/17/2022,Elena Ivanova,12/17/2022,Elena Ivanova,12/24/2022,EI,Bryce Peters,Bryce Peters
214,49,100,Weekly,1/5/2023,1/5/2023,1/12/2023 12:00,William Johnson,1/5/2023,William Johnson,1/5/2023,William Johnson,1/5/2023,WJ,Riley Lathrop,Riley Lathrop
215,3,125,Daily,2/13/2020,2/13/2020,2/15/2020 12:00,Gabriel Carter,2/13/2020,Gabriel Carter,2/13/2020,Gabriel Carter,2/13/2020,GC,Jordan Weiss,Jordan Weiss
216,31,79.99,Season,3/24/2022,3/24/2022,5/1/2022 12:00,Hailey Morris,3/24/2022,Hailey Morris,3/24/2022,Hailey Morris,3/24/2022,HM,Jake Lathrop,Jake Lathrop
217,84,70,Daily,4/5/2021,4/5/2021,4/7/2021 12:00,Elena Andreeva,4/5/2021,Elena Andreeva,4/5/2021,Elena Andreeva,4/5/2021,EA,John Florendo,John Florendo
218,90,100,Daily,3/7/2022,3/8/2022,3/10/2022 14:00,Victoria Taylor,3/7/2022,Victoria Taylor,3/7/2022,Victoria Taylor,3/8/2022,VT,Jordan Weiss,Jordan Weiss
219,19,30,Daily,12/22/2019,12/22/2019,12/24/2019 12:00,Rafael Lima,12/22/2019,Rafael Lima,12/22/2019,Rafael Lima,12/22/2019,RL,Carter Ash,Carter Ash
220,19,759.97,Season,1/20/2020,1/20/2020,5/1/2020 12:00,Rafael Lima,1/20/2020,Rafael Lima,1/20/2020,Rafael Lima,1/20/2020,RL,Jake Lathrop,Jake Lathrop
221,78,35,Daily,1/24/2023,1/24/2023,1/26/2023 12:00,Ahmed Hassan,1/24/2023,Ahmed Hassan,1/24/2023,Ahmed Hassan,1/24/2023,AH,Riley Lathrop,Riley Lathrop
222,42,239.98,Season,12/16/2021,12/16/2021,5/1/2022 12:00,Madison Reyes,12/16/2021,Madison Reyes,12/16/2021,Madison Reyes,12/16/2021,MR,Curtis Fountain,Curtis Fountain
223,96,399.98,Season,3/3/2023,3/3/2023,5/1/2023 12:00,Amelie Dupont,3/3/2023,Amelie Dupont,3/3/2023,Amelie Dupont,3/3/2023,AD,Nathan Giboney,Nathan Giboney
224,23,299.99,Season,12/28/2021,12/28/2021,5/1/2022 12:00,Mustafa Amin,12/28/2021,Mustafa Amin,12/28/2021,Mustafa Amin,12/28/2021,MA,Bryson Barradale,Bryson Barradale
225,62,209.99,Season,1/31/2020,1/31/2020,5/1/2020 12:00,Layla Ahmed,1/31/2020,Layla Ahmed,1/31/2020,Layla Ahmed,1/31/2020,LA,Bryce Peters,Bryce Peters
226,67,349.98,Season,12/4/2019,12/4/2019,5/1/2020 12:00,Malika Shah,12/4/2019,Malika Shah,12/4/2019,Malika Shah,12/4/2019,MS,Bryce Peters,Bryce Peters
227,23,100,Daily,2/7/2023,2/7/2023,2/9/2023 12:00,Mustafa Amin,2/7/2023,Mustafa Amin,2/7/2023,Mustafa Amin,2/7/2023,MA,Carter Ash,Carter Ash
228,24,50,Daily,1/10/2023,1/10/2023,1/12/2023 12:00,Miguel Rodriguez,1/10/2023,Miguel Rodriguez,1/10/2023,Miguel Rodriguez,1/10/2023,MR,Jordan Weiss,Jordan Weiss
229,99,40,Daily,3/11/2021,3/11/2021,3/13/2021 12:00,Julia Scott,3/11/2021,Julia Scott,3/11/2021,Julia Scott,3/11/2021,JS,Jude Willcox,Jude Willcox
230,90,165,Daily,2/21/2020,2/21/2020,2/23/2020 12:00,Victoria Taylor,2/21/2020,Victoria Taylor,2/21/2020,Victoria Taylor,2/21/2020,VT,Kevin Baron,Kevin Baron
231,47,210,Daily,3/27/2022,3/27/2022,3/29/2022 12:00,Emilia Rodriguez,3/27/2022,Emilia Rodriguez,3/27/2022,Emilia Rodriguez,3/27/2022,ER,Nathan Giboney,Nathan Giboney
232,81,70,Weekly,12/20/2022,12/26/2022,1/2/2023 12:00,Harper White,12/20/2022,Harper White,12/20/2022,Harper White,12/26/2022,HW,Jake Lathrop,Jake Lathrop
233,84,60,Daily,4/3/2020,4/3/2020,4/5/2020 12:00,Elena Andreeva,4/3/2020,Elena Andreeva,4/3/2020,Elena Andreeva,4/3/2020,EA,Kevin Baron,Kevin Baron
234,72,170,Daily,4/2/2021,4/2/2021,4/4/2021 12:00,Cameron Davis,4/2/2021,Cameron Davis,4/2/2021,Cameron Davis,4/2/2021,CD,Jude Willcox,Jude Willcox
235,37,30,Daily,3/7/2022,3/7/2022,3/9/2022 12:00,Santiago Ramirez,3/7/2022,Santiago Ramirez,3/7/2022,Santiago Ramirez,3/7/2022,SR,Kevin Baron,Kevin Baron
236,6,429.98,Season,3/10/2021,3/17/2021,5/1/2021 12:00,James Nguyen,3/10/2021,James Nguyen,3/10/2021,James Nguyen,3/17/2021,JN,Jordan Weiss,Jordan Weiss
237,11,229.98,Season,3/13/2023,3/13/2023,5/1/2023 12:00,Ethan Reed,3/13/2023,Ethan Reed,3/13/2023,Ethan Reed,3/13/2023,ER,John Florendo,John Florendo
238,9,200,Weekly,3/30/2021,3/30/2021,4/6/2021 12:00,Giselle Diaz,3/30/2021,Giselle Diaz,3/30/2021,Giselle Diaz,3/30/2021,GD,John Florendo,John Florendo
239,79,40,Daily,12/14/2020,12/14/2020,12/16/2020 12:00,David Brown,12/14/2020,David Brown,12/14/2020,David Brown,12/14/2020,DB,Bryson Barradale,Bryson Barradale
240,80,80,Daily,3/29/2020,3/29/2020,3/31/2020 12:00,Jakob Jensen,3/29/2020,Jakob Jensen,3/29/2020,Jakob Jensen,3/29/2020,JJ,Razi Muzaffar,Razi Muzaffar
241,60,65,Daily,12/25/2022,12/25/2022,12/27/2022 12:00,Sofia Fernandez,12/25/2022,Sofia Fernandez,12/25/2022,Sofia Fernandez,12/25/2022,SF,Carter Ash,Carter Ash
242,80,129.99,Season,3/30/2021,3/30/2021,5/1/2021 12:00,Jakob Jensen,3/30/2021,Jakob Jensen,3/30/2021,Jakob Jensen,3/30/2021,JJ,Bryce Peters,Bryce Peters
243,94,369.98,Season,12/22/2021,12/22/2021,5/1/2022 12:00,Gabriella Hill,12/22/2021,Gabriella Hill,12/22/2021,Gabriella Hill,12/22/2021,GH,Kevin Baron,Kevin Baron
244,11,299.99,Season,3/18/2023,3/18/2023,5/1/2023 12:00,Ethan Reed,3/18/2023,Ethan Reed,3/18/2023,Ethan Reed,3/18/2023,ER,Carter Ash,Carter Ash
245,19,189.99,Season,1/29/2020,1/29/2020,5/1/2020 12:00,Rafael Lima,1/29/2020,Rafael Lima,1/29/2020,Rafael Lima,1/29/2020,RL,Bryce Peters,Bryce Peters
246,16,90,Daily,2/4/2021,2/4/2021,2/6/2021 12:00,Sophia Edwards,2/4/2021,Sophia Edwards,2/4/2021,Sophia Edwards,2/4/2021,SE,Jake Lathrop,Jake Lathrop
247,27,25,Daily,12/6/2022,12/6/2022,12/8/2022 12:00,Samantha Martin,12/6/2022,Samantha Martin,12/6/2022,Samantha Martin,12/6/2022,SM,Bryce Peters,Bryce Peters
248,25,649.97,Season,12/6/2020,12/6/2020,5/1/2021 12:00,Ruby Foster,12/6/2020,Ruby Foster,12/6/2020,Ruby Foster,12/6/2020,RF,Kevin Baron,Kevin Baron
249,59,539.98,Season,3/15/2022,3/15/2022,5/1/2022 12:00,Audrey Walker,3/15/2022,Audrey Walker,3/15/2022,Audrey Walker,3/15/2022,AW,John Florendo,John Florendo
250,38,209.99,Season,2/18/2022,2/18/2022,5/1/2022 12:00,Sebastian Müller,2/18/2022,Sebastian Müller,2/18/2022,Sebastian Müller,2/18/2022,SM,Jake Lathrop,Jake Lathrop
251,30,569.98,Season,1/16/2021,1/16/2021,5/1/2021 12:00,Ana Silva,1/16/2021,Ana Silva,1/16/2021,Ana Silva,1/16/2021,AS,Bryson Barradale,Bryson Barradale
252,52,140,Weekly,2/8/2022,2/8/2022,2/15/2022 12:00,Omar Elsayed,2/8/2022,Omar Elsayed,2/8/2022,Omar Elsayed,2/8/2022,OE,Carter Ash,Carter Ash
253,99,529.98,Season,3/20/2023,3/20/2023,5/1/2023 12:00,Julia Scott,3/20/2023,Julia Scott,3/20/2023,Julia Scott,3/20/2023,JS,Jordan Weiss,Jordan Weiss
254,96,215,Daily,2/24/2023,2/24/2023,2/26/2023 12:00,Amelie Dupont,2/24/2023,Amelie Dupont,2/24/2023,Amelie Dupont,2/24/2023,AD,Nathan Giboney,Nathan Giboney
255,84,269.99,Season,1/17/2021,1/17/2021,5/1/2021 12:00,Elena Andreeva,1/17/2021,Elena Andreeva,1/17/2021,Elena Andreeva,1/17/2021,EA,Bryce Peters,Bryce Peters
256,92,299.99,Season,1/4/2022,1/8/2022,5/1/2022 12:00,Sofia Santos,1/4/2022,Sofia Santos,1/4/2022,Sofia Santos,1/8/2022,SS,Riley Lathrop,Riley Lathrop
257,38,189.98,Season,3/24/2022,3/24/2022,5/1/2022 12:00,Sebastian Müller,3/24/2022,Sebastian Müller,3/24/2022,Sebastian Müller,3/24/2022,SM,Bryce Peters,Bryce Peters
258,43,60,Daily,12/22/2021,12/22/2021,12/24/2021 12:00,Sarah Taylor,12/22/2021,Sarah Taylor,12/22/2021,Sarah Taylor,12/22/2021,ST,Nathan Giboney,Nathan Giboney
259,94,100,Daily,2/13/2023,2/13/2023,2/15/2023 12:00,Gabriella Hill,2/13/2023,Gabriella Hill,2/13/2023,Gabriella Hill,2/13/2023,GH,Razi Muzaffar,Razi Muzaffar
260,3,229.99,Season,2/12/2021,2/12/2021,5/1/2021 12:00,Gabriel Carter,2/12/2021,Gabriel Carter,2/12/2021,Gabriel Carter,2/12/2021,GC,Kevin Baron,Kevin Baron
261,63,89.99,Season,12/7/2020,12/7/2020,5/1/2021 12:00,Christopher Wright,12/7/2020,Christopher Wright,12/7/2020,Christopher Wright,12/7/2020,CW,John Florendo,John Florendo
262,4,45,Daily,3/16/2020,3/16/2020,3/18/2020 12:00,Ethan Henderson,3/16/2020,Ethan Henderson,3/16/2020,Ethan Henderson,3/16/2020,EH,Razi Muzaffar,Razi Muzaffar
263,84,259.99,Season,2/10/2023,2/10/2023,5/1/2023 12:00,Elena Andreeva,2/10/2023,Elena Andreeva,2/10/2023,Elena Andreeva,2/10/2023,EA,Jude Willcox,Jude Willcox
264,20,179.99,Season,2/10/2020,2/10/2020,5/1/2020 12:00,Joseph Perez,2/10/2020,Joseph Perez,2/10/2020,Joseph Perez,2/10/2020,JP,Carter Ash,Carter Ash
265,76,149.99,Season,4/15/2022,4/15/2022,5/1/2022 12:00,John Foster,4/15/2022,John Foster,4/15/2022,John Foster,4/15/2022,JF,Curtis Fountain,Curtis Fountain
266,11,439.98,Season,2/10/2020,2/10/2020,5/1/2020 12:00,Ethan Reed,2/10/2020,Ethan Reed,2/10/2020,Ethan Reed,2/10/2020,ER,Carter Ash,Carter Ash
267,1,339.98,Season,1/27/2021,1/27/2021,5/1/2021 12:00,Emma Johansson,1/27/2021,Emma Johansson,1/27/2021,Emma Johansson,1/27/2021,EJ,Razi Muzaffar,Razi Muzaffar
268,4,40,Daily,1/16/2021,1/16/2021,1/18/2021 12:00,Ethan Henderson,1/16/2021,Ethan Henderson,1/16/2021,Ethan Henderson,1/16/2021,EH,Razi Muzaffar,Razi Muzaffar
269,12,669.96,Season,12/9/2020,12/9/2020,5/1/2021 12:00,Scarlett Mitchell,12/9/2020,Scarlett Mitchell,12/9/2020,Scarlett Mitchell,12/9/2020,SM,John Florendo,John Florendo
270,84,279.99,Season,3/21/2023,3/21/2023,5/1/2023 12:00,Elena Andreeva,3/21/2023,Elena Andreeva,3/21/2023,Elena Andreeva,3/21/2023,EA,Curtis Fountain,Curtis Fountain
271,77,75,Daily,1/6/2023,1/6/2023,1/8/2023 12:00,Aisha Abdul,1/6/2023,Aisha Abdul,1/6/2023,Aisha Abdul,1/6/2023,AA,Razi Muzaffar,Razi Muzaffar
